title,url,type,length,timestamp
Hidden interface controls are affecting usability,https://interactions.acm.org/archive/view/july-august-2025/stop-hiding-my-controls-hidden-interface-controls-are-affecting-usability,external,49,2025-07-06T15:42:42.720139
"July 5, 1687: When Newton Explained Why You Don't Float Away",https://multiverseemployeehandbook.com/blog/when-newton-explained-why-you-dont-float-away/,external,60,2025-07-06T15:42:42.720172
Local-first software (2019),https://www.inkandswitch.com/essay/local-first/,external,27,2025-07-06T15:42:42.720191
Serving 200M requests per day with a CGI-bin,https://simonwillison.net/2025/Jul/5/cgi-bin-performance/,external,44,2025-07-06T15:42:42.720207
Eastern Baltic cod grow much smaller than they did due to overfishing,https://www.smithsonianmag.com/smart-news/these-cod-have-been-shrinking-dramatically-for-decades-now-scientists-say-theyve-solved-the-mystery-180986920/,external,69,2025-07-06T15:42:42.720221
What a Hacker Stole from Me,https://mynoise.net/blog.php,external,27,2025-07-06T15:42:42.720236
Injection Rejection (2006),https://thedailywtf.com/articles/Injection_Rejection,external,26,2025-07-06T15:42:42.720250
How to Network as an Introvert,https://aginfer.bearblog.dev/how-to-network-as-an-introvert/,external,30,2025-07-06T15:42:42.720264
Are We the Baddies?,https://geohot.github.io//blog/jekyll/update/2025/07/05/are-we-the-baddies.html,external,19,2025-07-06T15:42:42.720277
Show HN: a community for collaborating on sideprojects,https://relentlessly.no/,external,54,2025-07-06T15:42:42.720291
Colombia seizes first unmanned narco-submarine with Starlink antenna,https://www.france24.com/en/americas/20250702-colombia-narco-submarine-starlink,external,68,2025-07-06T15:42:42.720304
Europe's first geostationary sounder satellite is launched,https://www.eumetsat.int/europes-first-geostationary-sounder-satellite-launched,external,58,2025-07-06T15:42:42.720317
ClojureScript from First Principles [video],https://www.youtube.com/watch?v=An-ImWVppNQ,external,43,2025-07-06T15:42:42.720331
Optimizing Tool Selection for LLM Workflows with Differentiable Programming,https://viksit.substack.com/p/optimizing-tool-selection-for-llm,external,75,2025-07-06T15:42:42.720345
"Volvo delivers 5,000th electric semi with little fanfare",https://electrek.co/2025/06/29/volvo-delivers-5000th-electric-semi-with-little-fanfare-sending-a-big-message/,external,56,2025-07-06T15:42:42.720358
macOS Icon History,https://basicappleguy.com/basicappleblog/macos-icon-history,external,18,2025-07-06T15:42:42.720371
Fast Code Is Easy. Measuring It Is Hard,https://www.architect.co/posts/how-fast-is-it-really,external,39,2025-07-06T15:42:42.720384
Game publishers respond to Stop Killing Games claim it curtails developer choice,https://www.pcgamer.com/gaming-industry/european-game-publisher-group-responds-to-stop-killing-games-claims-these-proposals-would-curtail-developer-choice/,external,80,2025-07-06T15:42:42.720397
X-Clacks-Overhead,https://xclacksoverhead.org/home/about,external,17,2025-07-06T15:42:42.720411
Show HN: News Alert ，Real-time global news monitoring with keyword alerts,https://newsalert.im/,external,73,2025-07-06T15:42:42.720424
Development of a transputer ISA board,https://nanochess.org/transputer_board.html,external,37,2025-07-06T15:42:42.720437
Speeding up PostgreSQL dump/restore snapshots,https://xata.io/blog/behind-the-scenes-speeding-up-pgstream-snapshots-for-postgresql,external,45,2025-07-06T15:42:42.720450
Laser-wielding device is like an anti-aircraft system for mosquitoes,https://newatlas.com/around-the-home/photon-matrix-laser-mosquitoes/,external,68,2025-07-06T15:42:42.720463
"Atomic ""Bomb"" Ring from KiX (1947)",https://toytales.ca/atomic-bomb-ring-from-kix-1947/,external,34,2025-07-06T15:42:42.720476
Techno-Feudalism and the Rise of AGI: A Future Without Economic Rights?,https://arxiv.org/abs/2503.14283,external,71,2025-07-06T15:42:42.720489
Yet Another Zip Trick,https://hackarcana.com/article/yet-another-zip-trick,external,21,2025-07-06T15:42:42.720502
Chasing Hobbies over Achievement Boosts Happiness (2023),https://neurosciencenews.com/hedonism-happiness-achievement-23923/,external,56,2025-07-06T15:42:42.720515
Volunteer finds Holy Grail of abolitionist-era Baptist documents,https://www.bostonherald.com/2025/07/03/baptist-anti-slavery-scroll/,external,64,2025-07-06T15:42:42.720528
Why the simplest desktop agent abstraction wins,https://www.bytebot.ai/blog/designing-bytebot-why-the-simplest-desktop-agent-abstraction-wins,external,47,2025-07-06T15:42:42.720542
"Haskell, Reverse Polish Notation, and Parsing",https://mattwills.bearblog.dev/haskell-postfix/,external,45,2025-07-06T15:42:42.720555
More,https://news.ycombinator.com/?p=2,internal,4,2025-07-06T15:42:42.720565
